AMount,Total,SRNO,Date,AveragePrice,BuyORSell,OrHold,Price,TQQQInvest,TOtQty,TQQQInvested,TQQQValues,PL,Adj Close,QQQInvest,QTRY,QQQInvested,QQQValues,PL,Invested,Price,,,,SOXL,10,,,,,
1000,"3,000.00",15,2/27/2017,4.76,B,B,4.81,"2,663.20",553.68,"2,663.20","2,663.20",0.00%,18.97,500,26.36,"2,593.82",500.00,-80.72%,"3,000.00","3,163.20",5.44%,3.163200394,,,,,,,,
0,"3,000.00",16,2/28/2017,4.79,S,S,4.62,0.00,0.00,0.00,0.00,0.00%,19.17,"2,663.20",165.28,"5,257.02","3,168.47",-39.73%,"3,000.00","3,168.47",5.62%,2.663200394,,,,,,,,
0,"3,000.00",17,3/1/2017,4.81,B,B,4.84,"3,168.47",654.64,"3,168.47","3,168.47",0.00%,18.23,0,0.00,0.00,0.00,0.00%,"3,000.00","3,168.47",5.62%,3.168471875,,,,,,,,
0,"3,000.00",18,3/2/2017,4.84,S,S,4.69,0.00,0.00,0.00,0.00,0.00%,18.04,"3,168.47",175.64,"3,168.47","3,168.47",0.00%,"3,000.00","3,168.47",5.62%,3.168471875,,,,,,,,
0,"3,000.00",19,3/3/2017,4.83,S,H,4.68,0.00,0.00,0.00,0.00,0.00%,18.17,0,175.64,"3,168.47","3,191.30",0.72%,"3,000.00","3,191.30",6.38%,0,,,,,,,,
0,"3,000.00",20,3/6/2017,4.82,S,H,4.68,0.00,0.00,0.00,0.00,0.00%,17.93,0,175.64,"3,168.47","3,149.15",-0.61%,"3,000.00","3,149.15",4.97%,0,,,,,,,,
0,"3,000.00",21,3/7/2017,4.81,S,H,4.72,0.00,0.00,0.00,0.00,0.00%,17.75,0,175.64,"3,168.47","3,117.54",-1.61%,"3,000.00","3,117.54",3.92%,0,,,,,,,,
0,"3,000.00",22,3/8/2017,4.80,S,H,4.75,0.00,0.00,0.00,0.00,0.00%,17.46,0,175.64,"3,168.47","3,066.60",-3.22%,"3,000.00","3,066.60",2.22%,0,,,,,,,,
0,"3,000.00",23,3/9/2017,4.79,S,H,4.77,0.00,0.00,0.00,0.00,0.00%,17.04,0,175.64,"3,168.47","2,992.84",-5.54%,"3,000.00","2,992.84",-0.24%,0,,,,,,,,
0,"3,000.00",24,3/10/2017,4.82,B,B,4.94,"2,992.84",605.84,"2,992.84","2,992.84",0.00%,17.21,0,0.00,0.00,0.00,0.00%,"3,000.00","2,992.84",-0.24%,2.992835962,,,,,,,,
0,"3,000.00",25,3/13/2017,4.85,B,H,5.05,0.00,605.84,"2,992.84","3,059.48",2.23%,16.87,0,0.00,0.00,0.00,0.00%,"3,000.00","3,059.48",1.98%,0,,,,,,,,
0,"3,000.00",26,3/14/2017,4.87,B,H,5.01,0.00,605.84,"2,992.84","3,035.24",1.42%,17.14,0,0.00,0.00,0.00,0.00%,"3,000.00","3,035.24",1.17%,0,,,,,,,,
0,"3,000.00",27,3/15/2017,4.90,B,H,5.13,0.00,605.84,"2,992.84","3,107.95",3.85%,17.74,0,0.00,0.00,0.00,0.00%,"3,000.00","3,107.95",3.60%,0,,,,,,,,
0,"3,000.00",28,3/16/2017,4.93,B,H,5.11,0.00,605.84,"2,992.84","3,095.83",3.44%,17.48,0,0.00,0.00,0.00,0.00%,"3,000.00","3,095.83",3.19%,0,,,,,,,,
0,"3,000.00",29,3/17/2017,4.97,B,H,5.14,0.00,605.84,"2,992.84","3,114.00",4.05%,17.80,0,0.00,0.00,0.00,0.00%,"3,000.00","3,114.00",3.80%,0,,,,,,,,
1000,"4,000.00",30,3/20/2017,5.03,B,H,5.25,500.00,701.08,"3,492.84","3,680.65",5.38%,18.05,500,27.70,500.00,500.00,0.00%,"4,000.00","4,180.65",4.52%,1,,,,,,,,
0,"4,000.00",31,3/21/2017,5.09,S,S,4.89,0.00,0.00,0.00,0.00,0.00%,18.50,"3,680.65",226.65,"4,180.65","4,193.11",0.30%,"4,000.00","4,193.11",4.83%,3.680645506,,,,,,,,
0,"4,000.00",32,3/22/2017,5.11,S,H,5.04,0.00,0.00,0.00,0.00,0.00%,18.71,0,226.65,"4,180.65","4,240.71",1.44%,"4,000.00","4,240.71",6.02%,0,,,,,,,,
